,author,title,sentence_nr,entity,kind,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
7852,"Le Guin, Ursula K.",The Word for World is Forest,13112,Selver,person,1,0,0,1,0,1,0,1,0,0,-1
7854,"Le Guin, Ursula K.",The Word for World is Forest,13119,Aabi,person,0,2,0,0,0,2,4,2,0,2,2
7860,"Le Guin, Ursula K.",The Word for World is Forest,13121,Lyubov,person,0,12,0,0,12,0,36,0,12,24,36
7861,"Le Guin, Ursula K.",The Word for World is Forest,13121,Lepennon,person,0,12,0,0,12,0,36,0,12,24,36
7865,"Le Guin, Ursula K.",The Word for World is Forest,13128,Selver,person,2,0,0,2,0,2,0,0,0,0,-2
7871,"Le Guin, Ursula K.",The Word for World is Forest,13142,Selver,person,1,1,1,1,1,1,3,1,1,2,2
7872,"Le Guin, Ursula K.",The Word for World is Forest,13144,Lyubov,person,0,0,0,0,0,0,0,0,0,2,0
7873,"Le Guin, Ursula K.",The Word for World is Forest,13144,Sam,person,0,0,0,0,0,0,0,0,0,2,0
7877,"Le Guin, Ursula K.",The Word for World is Forest,13147,Selver,person,0,0,0,0,0,0,1,0,0,0,1
7880,"Le Guin, Ursula K.",The Word for World is Forest,13154,Lyubov,person,0,1,0,0,0,1,1,0,0,0,0
7881,"Le Guin, Ursula K.",The Word for World is Forest,13156,Lyubov,person,0,0,2,4,0,8,0,6,0,0,-8
7882,"Le Guin, Ursula K.",The Word for World is Forest,13156,Tuntar,person,0,0,2,4,0,8,0,6,0,0,-8
7888,"Le Guin, Ursula K.",The Word for World is Forest,13163,Lyubov,person,3,0,0,0,0,0,3,0,0,3,3
7890,"Le Guin, Ursula K.",The Word for World is Forest,13164,Lyubov,person,4,6,2,2,4,6,6,4,4,6,0
7893,"Le Guin, Ursula K.",The Word for World is Forest,13166,Selver,person,0,1,0,1,1,0,1,0,0,1,1
7896,"Le Guin, Ursula K.",The Word for World is Forest,13169,Lepennon,person,2,2,2,0,2,2,6,2,0,2,4
7901,"Le Guin, Ursula K.",The Word for World is Forest,13171,Lyubov,person,3,0,3,3,0,3,0,3,0,0,-3
7903,"Le Guin, Ursula K.",The Word for World is Forest,13172,Howe,person,0,2,0,0,2,0,2,0,2,2,2
7905,"Le Guin, Ursula K.",The Word for World is Forest,13173,Ben,person,0,0,0,0,0,0,2,0,0,2,2
7906,"Le Guin, Ursula K.",The Word for World is Forest,13178,Tubab,person,0,2,0,1,0,0,0,0,0,0,0
7913,"Le Guin, Ursula K.",The Word for World is Forest,13182,Gosse,person,0,5,0,0,0,0,0,0,0,0,0
7919,"Le Guin, Ursula K.",The Word for World is Forest,13190,Lord,person,0,0,3,0,0,3,3,0,0,3,0
7928,"Le Guin, Ursula K.",The Word for World is Forest,13199,Selver,person,2,0,0,2,0,2,2,0,0,2,0
7931,"Le Guin, Ursula K.",The Word for World is Forest,13201,Ben,person,0,4,0,0,4,4,8,0,2,6,4
7934,"Le Guin, Ursula K.",The Word for World is Forest,13202,Selver,person,0,3,0,3,3,3,9,3,0,6,6
7935,"Le Guin, Ursula K.",The Word for World is Forest,13204,Lyubov,person,0,0,0,0,3,3,3,0,0,3,0
7936,"Le Guin, Ursula K.",The Word for World is Forest,13204,Sam,person,0,0,0,0,3,3,3,0,0,3,0
7942,"Le Guin, Ursula K.",The Word for World is Forest,13209,Selver,person,0,1,0,1,1,0,1,0,0,1,1
7951,"Le Guin, Ursula K.",The Word for World is Forest,13231,Selver,person,3,0,0,3,0,3,0,0,3,0,-3
7954,"Le Guin, Ursula K.",The Word for World is Forest,13233,Lyubov,person,3,6,0,0,9,3,15,0,0,9,12
7956,"Le Guin, Ursula K.",The Word for World is Forest,13235,Aabi,person,1,0,1,1,0,1,0,1,0,0,-1
