,author,title,entity,kind,total,gender
41,"Bradbury, Ray",Fahrenheit 451,Guy Montag,person,-0.368421053,m
42,"Bradbury, Ray",Fahrenheit 451,Harris,person,0,m
43,"Bradbury, Ray",Fahrenheit 451,Helen,person,2,f
44,"Bradbury, Ray",Fahrenheit 451,Hubert Hoag,person,2,m
45,"Bradbury, Ray",Fahrenheit 451,John,person,-0.666666667,f
46,"Bradbury, Ray",Fahrenheit 451,Juan Ramon,person,1,m
47,"Bradbury, Ray",Fahrenheit 451,Lord,person,0.25,m
48,"Bradbury, Ray",Fahrenheit 451,Louis,person,1.666666667,m
49,"Bradbury, Ray",Fahrenheit 451,Luke,person,-3,m
50,"Bradbury, Ray",Fahrenheit 451,Marcus,person,1,m
51,"Bradbury, Ray",Fahrenheit 451,Mark,person,-3,m
52,"Bradbury, Ray",Fahrenheit 451,Mildred,person,0.064516129,f
53,"Bradbury, Ray",Fahrenheit 451,Mildred Montag,person,0.064516129,f
54,"Bradbury, Ray",Fahrenheit 451,Nicholas Ridley,person,-1,m
55,"Bradbury, Ray",Fahrenheit 451,Philip Sidney,person,4,m
56,"Bradbury, Ray",Fahrenheit 451,Sam,person,-1,m
57,"Bradbury, Ray",Fahrenheit 451,Thomas Hardy,person,4,m
58,"Bradbury, Ray",Fahrenheit 451,Thomas Jefferson,person,4,m
59,"Bradbury, Ray",Fahrenheit 451,Thomas Love Peacock,person,4,m
60,"Bradbury, Ray",Fahrenheit 451,Tom Paine,person,0,m
61,"Bradbury, Ray",Fahrenheit 451,Whitman,person,-4,m
62,"Bradbury, Ray",Fahrenheit 451,Winston,person,1,m
63,"Le Guin, Ursula K.",The Word for World is Forest,Benton,person,-1,m
64,"Le Guin, Ursula K.",The Word for World is Forest,Captain Susun,person,8,m
66,"Le Guin, Ursula K.",The Word for World is Forest,Coro Mena,person,-0.166666667,m
67,"Le Guin, Ursula K.",The Word for World is Forest,Don,person,0.84457478,m
68,"Le Guin, Ursula K.",The Word for World is Forest,Ebor Dendep.,person,-0.666666667,m
69,"Le Guin, Ursula K.",The Word for World is Forest,Gosse,person,0.509090909,m
71,"Le Guin, Ursula K.",The Word for World is Forest,Kees,person,-0.777777778,m
73,"Le Guin, Ursula K.",The Word for World is Forest,Lord Dreamer,person,-1,m
74,"Le Guin, Ursula K.",The Word for World is Forest,Lyubov,person,0.443548387,m
76,"Le Guin, Ursula K.",The Word for World is Forest,Sam,person,1.8,m
77,"Le Guin, Ursula K.",The Word for World is Forest,Seiver,person,-0.333333333,m
79,"Le Guin, Ursula K.",The Word for World is Forest,Thele,person,0.5,m
80,"Le Guin, Ursula K.",The Word for World is Forest,Tubab,person,0.666666667,m
81,"Le Guin, Ursula K.",The Word for World is Forest,"Van
Sten",person,1,m
84,"Orwell, George",1984,Charringtons,person,0.111111111,m
87,"Orwell, George",1984,Goldstein,person,-0.362068966,m
88,"Orwell, George",1984,Julia,person,0.283018868,f
92,"Orwell, George",1984,O'Brien,person,0,m
93,"Orwell, George",1984,Parsons,person,0,m
94,"Orwell, George",1984,Syme,person,-0.2,m
95,"Orwell, George",1984,Winston,person,0.110419907,m
96,"Rand, Ayn",Anthem,Equality,person,1.705882353,m
97,"Rand, Ayn",Anthem,Liberty,person,1.142857143,f
